iter	Accuracy	MultiClass
727	0.9588775784	0.09351870561
728	0.9588714421	0.0935166313
729	0.9588751336	0.09351484757
730	0.9588861111	0.09351158007
731	0.9589036364	0.09349479301
732	0.958910281	0.09347965168
733	0.9589095427	0.09347662621
734	0.9589247685	0.09346802886
735	0.9589291498	0.09345147511
736	0.9589343178	0.09344737591
737	0.9589438188	0.09343003196
738	0.9589362059	0.09342622077
739	0.9589457552	0.09341659654
740	0.9589464935	0.09341550314
741	0.9589622154	0.09339992619
742	0.9589710265	0.09339737986
743	0.9589809873	0.09339447055
744	0.9589834321	0.09339338371
745	0.958987765	0.09338847177
746	0.9589858285	0.09338302258
747	0.958985417	0.09338091622
748	0.958993163	0.09337308355
749	0.9589955594	0.09336129702
750	0.9590082072	0.09333983056
751	0.959013	0.09333631246
752	0.9590140167	0.09333482784
753	0.9590076505	0.09333301785
754	0.9590331154	0.09328117951
755	0.9590369884	0.09327142538
756	0.9590469977	0.09326730981
757	0.9590579752	0.09326072431
758	0.9590591734	0.09325635512
759	0.9590501808	0.0932527951
760	0.95906065	0.09325180919
761	0.9590770617	0.09319610752
762	0.9590848076	0.09319444545
763	0.9590979516	0.09317970255
764	0.9591001664	0.0931787579
765	0.959101873	0.09317836086
766	0.9591101273	0.09316125189
767	0.9591142786	0.0931607539
768	0.9591048261	0.09315773036
769	0.9591073194	0.09315191769
770	0.9591048261	0.09315078142
771	0.9591060728	0.09313899751
772	0.9591131289	0.09313084598
773	0.9591146055	0.09312931331
774	0.9591102241	0.09312739919
775	0.959110684	0.09312160143
776	0.9591065811	0.09311554632
777	0.9591207418	0.09309924935
778	0.9591315739	0.09308947454
779	0.9591372019	0.09308212867
780	0.959143665	0.0930752842
781	0.9591468966	0.09307033251
782	0.9591522946	0.09306843362
783	0.9591556592	0.09305994796
784	0.9591563975	0.09305774975
785	0.959176646	0.09304919296
786	0.9591847672	0.09303392217
787	0.9591779411	0.0930318183
788	0.9592120596	0.09295956103
789	0.9592108129	0.09294941439
790	0.9592222988	0.09294638449
791	0.9592266316	0.09293893789
792	0.9592251551	0.09293744037
793	0.9592266316	0.0929350024
794	0.9592296333	0.09292915393
795	0.9592218389	0.0929256064
